Name,Price,VC,Cover Art,URL
2048,1.99, ,https://assets.nintendo.com/image/upload/ncom/en_US/games/3ds/2/2048-3ds/boxart,www.nintendo.com/games/detail/2048-3ds/
101 DinoPets 3D,4.99, ,https://assets.nintendo.com/image/upload/ncom/en_US/games/3ds/1/101-dinopets-3d-3ds/boxart,www.nintendo.com/games/detail/101-dinopets-3d-3ds/
101 Penguin Pets 3D,4.99, ,https://assets.nintendo.com/image/upload/ncom/en_US/games/3ds/1/101-penguin-pets-3d-3ds/boxart,www.nintendo.com/games/detail/101-penguin-pets-3d-3ds/
101 Pony Pets 3D,4.99, ,https://assets.nintendo.com/image/upload/ncom/en_US/games/3ds/1/101-pony-pets-3d-3ds/boxart,www.nintendo.com/games/detail/101-pony-pets-3d-3ds/
10-in-1: Arcade Collection,2.99, ,https://assets.nintendo.com/image/upload/ncom/en_US/games/3ds/1/10-in-1-arcade-collection-3ds/boxart,www.nintendo.com/games/detail/10-in-1-arcade-collection-3ds/
2 Fast 4 Gnomz,4.99, ,https://assets.nintendo.com/image/upload/ncom/en_US/games/3ds/2/2-fast-4-gnomz-3ds/boxart,www.nintendo.com/games/detail/2-fast-4-gnomz-3ds/
3D After Burner II,5.99, ,https://assets.nintendo.com/image/upload/ncom/en_US/games/3ds/3/3d-after-burner-2-3ds/boxart,www.nintendo.com/games/detail/3d-after-burner-2-3ds/
3D Altered Beast,5.99, ,https://assets.nintendo.com/image/upload/ncom/en_US/games/3ds/3/3d-altered-beast-3ds/boxart,www.nintendo.com/games/detail/3d-altered-beast-3ds/
3D Classics Excitebike,5.99, ,https://assets.nintendo.com/image/upload/ncom/en_US/games/3ds/3/3d-classics-excitebike-3ds/boxart,www.nintendo.com/games/detail/3d-classics-excitebike-3ds/
3D Classics: Kid Icarus,5.99, ,https://assets.nintendo.com/image/upload/ncom/en_US/games/3ds/3/3d-classics-kid-icarus-3ds/boxart,www.nintendo.com/games/detail/3d-classics-kid-icarus-3ds/
3D Classics: Kirby's Adventure,6.99, ,https://assets.nintendo.com/image/upload/ncom/en_US/games/3ds/3/3d-classics-kirbys-adventure-3ds/boxart,www.nintendo.com/games/detail/3d-classics-kirbys-adventure-3ds/
3D Classics: TwinBee,4.99, ,https://assets.nintendo.com/image/upload/ncom/en_US/games/3ds/3/3d-classics-twinbee-3ds/boxart,www.nintendo.com/games/detail/3d-classics-twinbee-3ds/
3D Classics: Urban Champion,4.99, ,https://assets.nintendo.com/image/upload/ncom/en_US/games/3ds/3/3d-classics-urban-champion-3ds/boxart,www.nintendo.com/games/detail/3d-classics-urban-champion-3ds/
3D Classics: Xevious,5.99, ,https://assets.nintendo.com/image/upload/ncom/en_US/games/3ds/3/3d-classics-xevious-3ds/boxart,www.nintendo.com/games/detail/3d-classics-xevious-3ds/
3D Ecco the Dolphin,5.99, ,https://assets.nintendo.com/image/upload/ncom/en_US/games/3ds/3/3d-ecco-the-dolphin-3ds/boxart,www.nintendo.com/games/detail/3d-ecco-the-dolphin-3ds/
3D Fantasy Zone,5.99, ,https://assets.nintendo.com/image/upload/ncom/en_US/games/3ds/3/3d-fantasy-zone-3ds/boxart,www.nintendo.com/games/detail/3d-fantasy-zone-3ds/
3D Fantasy Zone II,5.99, ,https://assets.nintendo.com/image/upload/ncom/en_US/games/3ds/3/3d-fantasy-zone-ii-3ds/boxart,www.nintendo.com/games/detail/3d-fantasy-zone-ii-3ds/
3D Galaxy Force II,5.99, ,https://assets.nintendo.com/image/upload/ncom/en_US/games/3ds/3/3d-galaxy-force-ii-3ds/boxart,www.nintendo.com/games/detail/3d-galaxy-force-ii-3ds/
3D Game Collection,5.99, ,https://assets.nintendo.com/image/upload/ncom/en_US/games/3ds/3/3d-game-collection-3ds/boxart,www.nintendo.com/games/detail/3d-game-collection-3ds/
3D Gunstar Heroes,5.99, ,https://assets.nintendo.com/image/upload/ncom/en_US/games/3ds/3/3d-gunstar-heroes-3ds/boxart,www.nintendo.com/games/detail/3d-gunstar-heroes-3ds/
3D MahJongg,4.99, ,https://assets.nintendo.com/image/upload/ncom/en_US/games/3ds/3/3d-mahjongg-3ds/boxart,www.nintendo.com/games/detail/3d-mahjongg-3ds/
3D Out Run,5.99, ,https://assets.nintendo.com/image/upload/ncom/en_US/games/3ds/3/3d-out-run-3ds/boxart,www.nintendo.com/games/detail/3d-out-run-3ds/
3D Retro Dungeon Puzzle Challenge,0.7, ,https://assets.nintendo.com/image/upload/ncom/en_US/games/3ds/3/3d-retro-dungeon-puzzle-challenge-3ds/boxart,www.nintendo.com/games/detail/3d-retro-dungeon-puzzle-challenge-3ds/
3D Shinobi III: Return of the Ninja Master,5.99, ,https://assets.nintendo.com/image/upload/ncom/en_US/games/3ds/3/3d-shiobi-3-return-of-the-ninja-master-3ds/boxart,www.nintendo.com/games/detail/3d-shiobi-3-return-of-the-ninja-master-3ds/
3D Solitaire,2.99, ,https://assets.nintendo.com/image/upload/ncom/en_US/games/3ds/3/3d-solitaire-3ds/boxart,www.nintendo.com/games/detail/3d-solitaire-3ds/
3D Sonic The Hedgehog,5.99, ,https://assets.nintendo.com/image/upload/ncom/en_US/games/3ds/3/3d-sonic-the-hedgehog-3ds/boxart,www.nintendo.com/games/detail/3d-sonic-the-hedgehog-3ds/
3D Sonic The Hedgehog 2,5.99, ,https://assets.nintendo.com/image/upload/ncom/en_US/games/3ds/3/3d-sonic-the-hedgehog-2-3ds/boxart,www.nintendo.com/games/detail/3d-sonic-the-hedgehog-2-3ds/
3D Space Harrier,5.99, ,https://assets.nintendo.com/image/upload/ncom/en_US/games/3ds/3/3d-space-harrier-3ds/boxart,www.nintendo.com/games/detail/3d-space-harrier-3ds/
3D Streets of Rage,5.99, ,https://assets.nintendo.com/image/upload/ncom/en_US/games/3ds/3/3d-streets-of-rage-3ds/boxart,www.nintendo.com/games/detail/3d-streets-of-rage-3ds/
3D Streets of Rage 2,5.99, ,https://assets.nintendo.com/image/upload/ncom/en_US/games/3ds/3/3d-streets-of-rage-2-3ds/boxart,www.nintendo.com/games/detail/3d-streets-of-rage-2-3ds/
3D Super Hang-On,5.99, ,https://assets.nintendo.com/image/upload/ncom/en_US/games/3ds/3/3d-super-hang-on-3ds/boxart,www.nintendo.com/games/detail/3d-super-hang-on-3ds/
3D Thunder Blade,5.99, ,https://assets.nintendo.com/image/upload/ncom/en_US/games/3ds/3/3d-thunder-blade-3ds/boxart,www.nintendo.com/games/detail/3d-thunder-blade-3ds/
6180 the moon,3.99, ,https://assets.nintendo.com/image/upload/ncom/en_US/games/3ds/6/6180-the-moon-3ds/boxart,www.nintendo.com/games/detail/6180-the-moon-3ds/
80'S OVERDRIVE,4.99, ,https://assets.nintendo.com/image/upload/ncom/en_US/games/3ds/8/80s-overdrive-3ds/boxart,www.nintendo.com/games/detail/80s-overdrive-3ds/
Adventure Bar Story,5.99, ,https://assets.nintendo.com/image/upload/ncom/en_US/games/3ds/a/adventure-bar-story-3ds/boxart,www.nintendo.com/games/detail/adventure-bar-story-3ds/
Adventure Island,3.99,Game Boy,https://assets.nintendo.com/image/upload/ncom/en_US/games/3ds/a/adventure-island-3ds/boxart,www.nintendo.com/games/detail/adventure-island-3ds/
Adventure Island II,4.99,NES,https://assets.nintendo.com/image/upload/ncom/en_US/games/3ds/a/adventure-island-ii-3ds/boxart,www.nintendo.com/games/detail/adventure-island-ii-3ds/
Adventure Labyrinth Story,5, ,https://assets.nintendo.com/image/upload/ncom/en_US/games/3ds/a/adventure-labyrinth-story-3ds/boxart,www.nintendo.com/games/detail/adventure-labyrinth-story-3ds/
Adventures of Lolo,4.99,NES,https://assets.nintendo.com/image/upload/ncom/en_US/games/3ds/a/adventures-of-lolo-3ds/boxart,www.nintendo.com/games/detail/adventures-of-lolo-3ds/
AERO PORTER,4.99, ,https://assets.nintendo.com/image/upload/ncom/en_US/games/3ds/a/aero-porter-3ds/boxart,www.nintendo.com/games/detail/aero-porter-3ds/
AeternoBlade,14.99, ,https://assets.nintendo.com/image/upload/ncom/en_US/games/3ds/a/aeternoblade-3ds/boxart,www.nintendo.com/games/detail/aeternoblade-3ds/
AiRace Speed,3.49, ,https://assets.nintendo.com/image/upload/ncom/en_US/games/3ds/a/airace-speed-3ds/boxart,www.nintendo.com/games/detail/airace-speed-3ds/
AiRace Xeno,2.49, ,https://assets.nintendo.com/image/upload/ncom/en_US/games/3ds/a/airace-xeno-3ds/boxart,www.nintendo.com/games/detail/airace-xeno-3ds/
Akari by Nikoli,4.99, ,https://assets.nintendo.com/image/upload/ncom/en_US/games/3ds/a/akari-by-nikoli-3ds/boxart,www.nintendo.com/games/detail/akari-by-nikoli-3ds/
Alchemic Dungeons,5, ,https://assets.nintendo.com/image/upload/ncom/en_US/games/3ds/a/alchemic-dungeons-3ds/boxart,www.nintendo.com/games/detail/alchemic-dungeons-3ds/
Alien On The Run,3.99, ,https://assets.nintendo.com/image/upload/ncom/en_US/games/3ds/a/alien-on-the-run-3ds/boxart,www.nintendo.com/games/detail/alien-on-the-run-3ds/
Alleyway,2.99,Game Boy,https://assets.nintendo.com/image/upload/ncom/en_US/games/3ds/a/alleyway-3ds/boxart,www.nintendo.com/games/detail/alleyway-3ds/
Alphadia,9.99, ,https://assets.nintendo.com/image/upload/ncom/en_US/games/3ds/a/alphadia-3ds/boxart,www.nintendo.com/games/detail/alphadia-3ds/
